Jan 28 23:58:24 ubuntu systemd-logind[2195]: New seat seat0.
Jan 28 23:58:24 ubuntu systemd-logind[2195]: Watching system buttons on /dev/input/event1 (axp22x-powerkey)
Jan 28 23:58:31 ubuntu sshd[2598]: Server listening on 0.0.0.0 port 22.
Jan 28 23:58:31 ubuntu sshd[2598]: Server listening on :: port 22.
Jan 28 23:58:47 ubuntu login[2608]: pam_unix(login:account): account root has password changed in future
Jan 28 23:58:47 ubuntu login[2608]: pam_unix(login:session): session opened for user root by LOGIN(uid=0)
Jan 28 23:58:47 ubuntu systemd-logind[2195]: New session c1 of user root.
Jan 28 23:58:47 ubuntu systemd: pam_unix(systemd-user:account): account root has password changed in future
Jan 28 23:58:47 ubuntu systemd: pam_unix(systemd-user:session): session opened for user root by (uid=0)
Jan 28 23:58:48 ubuntu login[3001]: ROOT LOGIN  on '/dev/ttyS0'
Dec  3 11:17:01 ubuntu CRON[15779]: pam_unix(cron:session): session opened for user root by (uid=0)
Dec  3 11:17:01 ubuntu CRON[15779]: pam_unix(cron:session): session closed for user root
Dec  3 12:17:01 ubuntu CRON[21135]: pam_unix(cron:session): session opened for user root by (uid=0)
Dec  3 12:17:01 ubuntu CRON[21135]: pam_unix(cron:session): session closed for user root
Dec  3 13:17:01 ubuntu CRON[26479]: pam_unix(cron:session): session opened for user root by (uid=0)
Dec  3 13:17:01 ubuntu CRON[26479]: pam_unix(cron:session): session closed for user root
Dec  3 14:17:02 ubuntu CRON[31824]: pam_unix(cron:session): session opened for user root by (uid=0)
Dec  3 14:17:02 ubuntu CRON[31824]: pam_unix(cron:session): session closed for user root
Dec  3 15:17:01 ubuntu CRON[4786]: pam_unix(cron:session): session opened for user root by (uid=0)
Dec  3 15:17:01 ubuntu CRON[4786]: pam_unix(cron:session): session closed for user root
Dec  3 16:17:01 ubuntu CRON[10130]: pam_unix(cron:session): session opened for user root by (uid=0)
Dec  3 16:17:01 ubuntu CRON[10130]: pam_unix(cron:session): session closed for user root
Dec  3 17:17:01 ubuntu CRON[15478]: pam_unix(cron:session): session opened for user root by (uid=0)
Dec  3 17:17:01 ubuntu CRON[15478]: pam_unix(cron:session): session closed for user root
Dec  3 18:17:01 ubuntu CRON[20823]: pam_unix(cron:session): session opened for user root by (uid=0)
Dec  3 18:17:01 ubuntu CRON[20823]: pam_unix(cron:session): session closed for user root
Dec  3 17:46:54 ubuntu systemd-logind[2199]: New seat seat0.
Dec  3 17:46:54 ubuntu systemd-logind[2199]: Watching system buttons on /dev/input/event1 (axp22x-powerkey)
Dec  3 17:47:01 ubuntu sshd[2647]: Server listening on 0.0.0.0 port 22.
Dec  3 17:47:01 ubuntu sshd[2647]: Server listening on :: port 22.
Dec  4 09:17:01 ubuntu CRON[3649]: pam_unix(cron:session): session opened for user root by (uid=0)
Dec  4 09:17:01 ubuntu CRON[3649]: pam_unix(cron:session): session closed for user root
Dec  4 10:17:01 ubuntu CRON[3697]: pam_unix(cron:session): session opened for user root by (uid=0)
Dec  4 10:17:01 ubuntu CRON[3697]: pam_unix(cron:session): session closed for user root
Dec  4 11:04:22 ubuntu login[2627]: pam_unix(login:session): session opened for user root by LOGIN(uid=0)
Dec  4 11:04:22 ubuntu systemd-logind[2199]: New session c1 of user root.
Dec  4 11:04:22 ubuntu systemd: pam_unix(systemd-user:session): session opened for user root by (uid=0)
Dec  4 11:04:23 ubuntu login[3816]: ROOT LOGIN  on '/dev/ttyS0'
Dec  4 11:12:39 ubuntu sshd[4588]: Accepted password for root from 192.168.200.73 port 64537 ssh2
Dec  4 11:12:39 ubuntu sshd[4588]: pam_unix(sshd:session): session opened for user root by (uid=0)
Dec  4 11:12:39 ubuntu systemd-logind[2199]: New session c2 of user root.
