2018-04-26 18:10:12 startup archives install
2018-04-26 18:10:12 install base-passwd:armhf <none> 3.5.44
2018-04-26 18:10:12 status half-installed base-passwd:armhf 3.5.44
2018-04-26 18:10:12 status unpacked base-passwd:armhf 3.5.44
2018-04-26 18:10:12 status unpacked base-passwd:armhf 3.5.44
2018-04-26 18:10:12 configure base-passwd:armhf 3.5.44 3.5.44
2018-04-26 18:10:12 status unpacked base-passwd:armhf 3.5.44
2018-04-26 18:10:12 status half-configured base-passwd:armhf 3.5.44
2018-04-26 18:10:13 status installed base-passwd:armhf 3.5.44
2018-04-26 18:10:13 startup archives install
2018-04-26 18:10:13 install base-files:armhf <none> 10.1ubuntu2
2018-04-26 18:10:13 status half-installed base-files:armhf 10.1ubuntu2
2018-04-26 18:10:13 status unpacked base-files:armhf 10.1ubuntu2
2018-04-26 18:10:13 status unpacked base-files:armhf 10.1ubuntu2
2018-04-26 18:10:13 configure base-files:armhf 10.1ubuntu2 10.1ubuntu2
2018-04-26 18:10:13 status unpacked base-files:armhf 10.1ubuntu2
2018-04-26 18:10:13 status unpacked base-files:armhf 10.1ubuntu2
2018-04-26 18:10:13 status unpacked base-files:armhf 10.1ubuntu2
2018-04-26 18:10:13 status unpacked base-files:armhf 10.1ubuntu2
2018-04-26 18:10:13 status unpacked base-files:armhf 10.1ubuntu2
2018-04-26 18:10:13 status unpacked base-files:armhf 10.1ubuntu2
2018-04-26 18:10:13 status unpacked base-files:armhf 10.1ubuntu2
2018-04-26 18:10:13 status unpacked base-files:armhf 10.1ubuntu2
2018-04-26 18:10:13 status unpacked base-files:armhf 10.1ubuntu2
2018-04-26 18:10:13 status unpacked base-files:armhf 10.1ubuntu2
2018-04-26 18:10:13 status unpacked base-files:armhf 10.1ubuntu2
2018-04-26 18:10:13 status unpacked base-files:armhf 10.1ubuntu2
2018-04-26 18:10:13 status unpacked base-files:armhf 10.1ubuntu2
2018-04-26 18:10:13 status half-configured base-files:armhf 10.1ubuntu2
2018-04-26 18:10:13 status installed base-files:armhf 10.1ubuntu2
2018-04-26 18:10:13 startup archives install
2018-04-26 18:10:13 upgrade dpkg 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2018-04-26 18:10:13 status half-configured dpkg 1.19.0.5ubuntu2
2018-04-26 18:10:13 status unpacked dpkg 1.19.0.5ubuntu2
2018-04-26 18:10:13 status half-installed dpkg 1.19.0.5ubuntu2
2018-04-26 18:10:13 status half-installed dpkg 1.19.0.5ubuntu2
2018-04-26 18:10:13 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2018-04-26 18:10:13 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2018-04-26 18:10:13 configure dpkg:armhf 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2018-04-26 18:10:13 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2018-04-26 18:10:13 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2018-04-26 18:10:13 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2018-04-26 18:10:14 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2018-04-26 18:10:14 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2018-04-26 18:10:14 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2018-04-26 18:10:14 status half-configured dpkg:armhf 1.19.0.5ubuntu2
2018-04-26 18:10:14 status installed dpkg:armhf 1.19.0.5ubuntu2
2018-04-26 18:10:14 startup archives install
2018-04-26 18:10:14 install libc6:armhf <none> 2.27-3ubuntu1
2018-04-26 18:10:14 status half-installed libc6:armhf 2.27-3ubuntu1
2018-04-26 18:10:14 status unpacked libc6:armhf 2.27-3ubuntu1
2018-04-26 18:10:14 status unpacked libc6:armhf 2.27-3ubuntu1
2018-04-26 18:10:14 configure libc6:armhf 2.27-3ubuntu1 2.27-3ubuntu1
2018-04-26 18:10:14 status unpacked libc6:armhf 2.27-3ubuntu1
2018-04-26 18:10:14 status unpacked libc6:armhf 2.27-3ubuntu1
2018-04-26 18:10:14 status half-configured libc6:armhf 2.27-3ubuntu1
2018-04-26 18:10:15 status installed libc6:armhf 2.27-3ubuntu1
2018-04-26 18:10:15 startup archives install
2018-04-26 18:10:15 install perl-base:armhf <none> 5.26.1-6
2018-04-26 18:10:15 status half-installed perl-base:armhf 5.26.1-6
2018-04-26 18:10:15 status unpacked perl-base:armhf 5.26.1-6
2018-04-26 18:10:15 status unpacked perl-base:armhf 5.26.1-6
2018-04-26 18:10:15 configure perl-base:armhf 5.26.1-6 5.26.1-6
2018-04-26 18:10:15 status unpacked perl-base:armhf 5.26.1-6
2018-04-26 18:10:15 status half-configured perl-base:armhf 5.26.1-6
2018-04-26 18:10:15 status installed perl-base:armhf 5.26.1-6
2018-04-26 18:10:15 startup archives install
2018-04-26 18:10:15 install mawk:armhf <none> 1.3.3-17ubuntu3
2018-04-26 18:10:15 status half-installed mawk:armhf 1.3.3-17ubuntu3
2018-04-26 18:10:15 status unpacked mawk:armhf 1.3.3-17ubuntu3
2018-04-26 18:10:15 status unpacked mawk:armhf 1.3.3-17ubuntu3
2018-04-26 18:10:15 configure mawk:armhf 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2018-04-26 18:10:15 status unpacked mawk:armhf 1.3.3-17ubuntu3
2018-04-26 18:10:15 status half-configured mawk:armhf 1.3.3-17ubuntu3
2018-04-26 18:10:15 status installed mawk:armhf 1.3.3-17ubuntu3
2018-04-26 18:10:15 startup archives unpack
2018-04-26 18:10:15 upgrade base-files:armhf 10.1ubuntu2 10.1ubuntu2
2018-04-26 18:10:15 status half-configured base-files:armhf 10.1ubuntu2
2018-04-26 18:10:15 status unpacked base-files:armhf 10.1ubuntu2
2018-04-26 18:10:15 status half-installed base-files:armhf 10.1ubuntu2
2018-04-26 18:10:15 status half-installed base-files:armhf 10.1ubuntu2
2018-04-26 18:10:15 status unpacked base-files:armhf 10.1ubuntu2
2018-04-26 18:10:16 status unpacked base-files:armhf 10.1ubuntu2
2018-04-26 18:10:16 upgrade base-passwd:armhf 3.5.44 3.5.44
